control_row_id,control_season,control_player_id,control_player_name,control_team,control_position_final,times_used,avg_match_distance
911,2024,00-0039342,Xavier Legette,CAR,WR,18,0.7619841679264704
823,2024,00-0036613,Jaylen Waddle,MIA,WR,16,0.40067947999495224
923,2024,00-0039849,Marvin Harrison Jr.,ARI,WR,15,0.352711994724136
936,2024,00-0039919,Rome Odunze,CHI,WR,14,0.5317581445707351
934,2024,00-0039916,Ricky Pearsall,SF,WR,14,1.0737261737988186
870,2024,00-0038124,Christian Watson,GB,WR,11,0.4719658729299937
839,2024,00-0036988,Josh Palmer,LAC,WR,10,0.3957931703124948
194,2021,00-0036268,Laviska Shenault Jr.,JAX,WR,9,0.6511694626566193
367,2022,00-0035228,Kyler Murray,ARI,QB,9,0.6519299997212329
638,2023,00-0037238,Drake London,ATL,WR,9,0.49914494039269147
444,2022,00-0037013,Zach Wilson,NYJ,QB,9,1.15347103089648
440,2022,00-0036972,Mac Jones,NE,QB,9,0.8339687464925469
232,2021,00-0036936,Rondale Moore,ARI,WR,9,1.0535081774299069
607,2023,00-0036407,Jerry Jeudy,DEN,WR,9,0.6588118503477332
238,2021,00-0036980,Elijah Moore,NYJ,WR,9,0.8152042154753187
121,2021,00-0034348,Courtland Sutton,DEN,WR,9,0.5115826615478395
826,2024,00-0036849,Tutu Atwell,LA,WR,9,0.6745495583087524
132,2021,00-0034676,James Washington,PIT,WR,9,1.2222651297986973
460,2022,00-0037742,Treylon Burks,TEN,WR,8,1.286896085638313
415,2022,00-0036414,Cam Akers,LA,RB,8,0.4209332941516134
915,2024,00-0039373,Audric Estimé,DEN,RB,8,0.997114446025399
208,2021,00-0036387,Jalen Reagor,PHI,WR,8,1.1606315875266298
210,2021,00-0036407,Jerry Jeudy,DEN,WR,8,1.1712139927064906
921,2024,00-0039794,Braelon Allen,NYJ,RB,8,0.7990506071520685
459,2022,00-0037741,Jahan Dotson,WAS,WR,8,0.7119282764232415
430,2022,00-0036900,Ja'Marr Chase,CIN,WR,8,0.43488595755324605
217,2021,00-0036550,Rashod Bateman,BAL,WR,8,0.8735467970967367
448,2022,00-0037238,Drake London,ATL,WR,8,0.5138710144660702
229,2021,00-0036913,Kadarius Toney,NYG,WR,8,1.3450253943981298
912,2024,00-0039356,Ja'Tavion Sanders,CAR,TE,8,0.9665025410249168
185,2021,00-0036212,Tua Tagovailoa,MIA,QB,8,0.6905916799190281
148,2021,00-0034855,Baker Mayfield,CLE,QB,8,0.7278484135530707
675,2023,00-0038544,Quentin Johnston,LAC,WR,8,0.7517670168071103
861,2024,00-0037809,Chig Okonkwo,TEN,TE,8,0.8885632040368217
827,2024,00-0036875,Rhamondre Stevenson,NE,RB,8,0.6820953292474196
822,2024,00-0036555,Chuba Hubbard,CAR,RB,8,0.7191454956491676
878,2024,00-0038559,Michael Wilson,ARI,WR,8,0.47012690379402894
145,2021,00-0034837,Calvin Ridley,ATL,WR,8,1.448646634612895
380,2022,00-0035662,Marquise Brown,ARI,WR,8,0.8672091426994923
667,2023,00-0038124,Christian Watson,GB,WR,8,0.8540473172168738
651,2023,00-0037740,Garrett Wilson,NYJ,WR,8,0.6327204339522012
624,2023,00-0036936,Rondale Moore,ARI,WR,8,0.6290244402940791
613,2023,00-0036613,Jaylen Waddle,MIA,WR,8,0.5279312345766035
179,2021,00-0035710,Daniel Jones,NYG,QB,8,0.8008192846546021
683,2023,00-0038979,Cedric Tillman,CLE,WR,7,0.7011812925887044
608,2023,00-0036410,Tee Higgins,CIN,WR,7,0.6183767528641395
691,2023,00-0039062,Jonathan Mingo,CAR,WR,7,0.9496940271886029
631,2023,00-0036980,Elijah Moore,CLE,WR,7,0.6896735672623162
824,2024,00-0036626,Dyami Brown,WAS,WR,7,0.7841635143439135
873,2024,00-0038393,Dontayvion Wicks,GB,WR,7,0.6948681278135587
388,2022,00-0036158,J.K. Dobbins,BAL,RB,7,0.7288280454742709
599,2023,00-0036309,Darnell Mooney,CHI,WR,7,0.9064558085590734
868,2024,00-0038117,Wan'Dale Robinson,NYG,WR,7,0.7990646324344928
922,2024,00-0039847,Theo Johnson,NYG,TE,7,1.0504786006057787
236,2021,00-0036971,Trevor Lawrence,JAX,QB,7,0.9773487503644626
436,2022,00-0036955,Terrace Marshall Jr.,CAR,WR,6,0.7330648520237718
888,2024,00-0038933,Dalton Kincaid,BUF,TE,6,0.9790326270719039
602,2023,00-0036345,K.J. Osborn,MIN,WR,6,0.7269384658307304
834,2024,00-0036970,Kyle Pitts,ATL,TE,6,0.6112742186221181
681,2023,00-0038938,Jalin Hyatt,NYG,WR,6,0.7238979885370069
893,2024,00-0038979,Cedric Tillman,CLE,WR,6,0.8588805898256852
838,2024,00-0036980,Elijah Moore,CLE,WR,6,1.0837117922140538
393,2022,00-0036223,Jonathan Taylor,IND,RB,6,0.9384433083661348
364,2022,00-0034983,Hunter Renfrow,LV,WR,6,0.920478821641193
386,2022,00-0035719,Deebo Samuel Sr.,SF,WR,6,0.6002594166348195
376,2022,00-0035640,DK Metcalf,SEA,WR,6,0.44251188852263784
928,2024,00-0039890,Adonai Mitchell,IND,WR,6,1.0849086811195365
150,2021,00-0034869,Sam Darnold,CAR,QB,5,1.2324534489215506
118,2021,00-0034272,Marquez Valdes-Scantling,GB,WR,5,0.9240196486407253
202,2021,00-0036331,Devin Duvernay,BAL,WR,5,0.6687975892351306
687,2023,00-0039021,Roschon Johnson,CHI,RB,5,0.7357747022508916
152,2021,00-0034972,Alexander Mattison,MIN,RB,5,1.019350798957547
190,2021,00-0036251,Zack Moss,BUF,RB,5,0.8606697537457556
601,2023,00-0036328,Antonio Gibson,WAS,RB,5,0.5887254145898787
605,2023,00-0036370,Joshua Kelley,LAC,RB,5,0.8654595512645304
614,2023,00-0036637,Noah Gray,KC,TE,5,0.848308472141946
617,2023,00-0036876,Kylen Granson,IND,TE,5,0.7625488782599914
623,2023,00-0036919,Kenneth Gainwell,PHI,RB,5,0.6593292981585561
166,2021,00-0035535,Darius Slayton,NYG,WR,5,1.084241153822319
926,2024,00-0039868,Troy Franklin,DEN,WR,5,1.166053005192755
644,2023,00-0037258,Dameon Pierce,HOU,RB,5,0.9489253738158775
219,2021,00-0036555,Chuba Hubbard,CAR,RB,5,0.7225637113005051
215,2021,00-0036427,Tyler Johnson,TB,WR,5,0.8751739384666225
136,2021,00-0034764,Michael Gallup,DAL,WR,5,0.80830862142047
125,2021,00-0034407,Ray-Ray McCloud,PIT,WR,5,0.7591773276068144
375,2022,00-0035639,Parris Campbell,IND,WR,5,0.7635877370562059
420,2022,00-0036555,Chuba Hubbard,CAR,RB,5,0.7298046662769047
126,2021,00-0034411,Russell Gage,ATL,WR,5,0.3885900986998756
137,2021,00-0034765,Tre'Quan Smith,NO,WR,5,0.7423315428971758
123,2021,00-0034367,Nyheim Hines,IND,RB,5,0.4321073806221924
924,2024,00-0039851,Drake Maye,NE,QB,4,0.6289432606493689
406,2022,00-0036328,Antonio Gibson,WAS,RB,4,0.32789096326884615
401,2022,00-0036271,Quez Watkins,PHI,WR,4,0.5808672714529887
897,2024,00-0039032,Tyjae Spears,TEN,RB,4,0.7310759936599537
442,2022,00-0036980,Elijah Moore,NYJ,WR,4,0.9520395977885029
609,2023,00-0036442,Joe Burrow,CIN,QB,4,0.7722072822720731
