control_row_id,control_season,control_player_id,control_player_name,control_team,control_position_final,times_used,avg_match_distance
823,2024,00-0036613,Jaylen Waddle,MIA,WR,15,0.4035590803078151
936,2024,00-0039919,Rome Odunze,CHI,WR,14,0.5317581445707351
923,2024,00-0039849,Marvin Harrison Jr.,ARI,WR,14,0.3495247932635235
870,2024,00-0038124,Christian Watson,GB,WR,10,0.4809836369171393
839,2024,00-0036988,Josh Palmer,LAC,WR,10,0.3957931703124948
367,2022,00-0035228,Kyler Murray,ARI,QB,9,0.6519299997212329
638,2023,00-0037238,Drake London,ATL,WR,9,0.49914494039269147
194,2021,00-0036268,Laviska Shenault Jr.,JAX,WR,9,0.6511694626566193
440,2022,00-0036972,Mac Jones,NE,QB,9,0.8339687464925469
238,2021,00-0036980,Elijah Moore,NYJ,WR,9,0.8152042154753187
415,2022,00-0036414,Cam Akers,LA,RB,8,0.4209332941516134
208,2021,00-0036387,Jalen Reagor,PHI,WR,8,1.1606315875266298
217,2021,00-0036550,Rashod Bateman,BAL,WR,8,0.8735467970967367
185,2021,00-0036212,Tua Tagovailoa,MIA,QB,8,0.6905916799190281
921,2024,00-0039794,Braelon Allen,NYJ,RB,8,0.7990506071520685
624,2023,00-0036936,Rondale Moore,ARI,WR,8,0.6290244402940791
121,2021,00-0034348,Courtland Sutton,DEN,WR,8,0.5029458779079781
430,2022,00-0036900,Ja'Marr Chase,CIN,WR,8,0.43488595755324605
148,2021,00-0034855,Baker Mayfield,CLE,QB,8,0.7278484135530707
827,2024,00-0036875,Rhamondre Stevenson,NE,RB,8,0.6820953292474196
444,2022,00-0037013,Zach Wilson,NYJ,QB,8,1.120566392227171
448,2022,00-0037238,Drake London,ATL,WR,8,0.5138710144660702
459,2022,00-0037741,Jahan Dotson,WAS,WR,8,0.7119282764232415
613,2023,00-0036613,Jaylen Waddle,MIA,WR,8,0.5279312345766035
210,2021,00-0036407,Jerry Jeudy,DEN,WR,8,1.1712139927064906
826,2024,00-0036849,Tutu Atwell,LA,WR,7,0.7428326402799951
878,2024,00-0038559,Michael Wilson,ARI,WR,7,0.48954599645318153
861,2024,00-0037809,Chig Okonkwo,TEN,TE,7,0.9547479148028184
873,2024,00-0038393,Dontayvion Wicks,GB,WR,6,0.7574355225868127
602,2023,00-0036345,K.J. Osborn,MIN,WR,6,0.7269384658307304
599,2023,00-0036309,Darnell Mooney,CHI,WR,6,1.0048822915784255
888,2024,00-0038933,Dalton Kincaid,BUF,TE,6,0.9790326270719039
386,2022,00-0035719,Deebo Samuel Sr.,SF,WR,6,0.6002594166348195
388,2022,00-0036158,J.K. Dobbins,BAL,RB,6,0.7880429528857548
608,2023,00-0036410,Tee Higgins,CIN,WR,6,0.5662944366023156
631,2023,00-0036980,Elijah Moore,CLE,WR,6,0.6330828117742473
393,2022,00-0036223,Jonathan Taylor,IND,RB,6,0.9384433083661348
364,2022,00-0034983,Hunter Renfrow,LV,WR,6,0.920478821641193
681,2023,00-0038938,Jalin Hyatt,NYG,WR,6,0.7238979885370069
179,2021,00-0035710,Daniel Jones,NYG,QB,6,0.7690524102530355
834,2024,00-0036970,Kyle Pitts,ATL,TE,6,0.6112742186221181
617,2023,00-0036876,Kylen Granson,IND,TE,5,0.7625488782599914
683,2023,00-0038979,Cedric Tillman,CLE,WR,5,0.8542958177932365
623,2023,00-0036919,Kenneth Gainwell,PHI,RB,5,0.6593292981585561
152,2021,00-0034972,Alexander Mattison,MIN,RB,5,1.019350798957547
868,2024,00-0038117,Wan'Dale Robinson,NYG,WR,5,0.8161487654137403
137,2021,00-0034765,Tre'Quan Smith,NO,WR,5,0.7423315428971758
822,2024,00-0036555,Chuba Hubbard,CAR,RB,5,0.4822374179443726
614,2023,00-0036637,Noah Gray,KC,TE,5,0.848308472141946
136,2021,00-0034764,Michael Gallup,DAL,WR,5,0.80830862142047
126,2021,00-0034411,Russell Gage,ATL,WR,5,0.3885900986998756
125,2021,00-0034407,Ray-Ray McCloud,PIT,WR,5,0.7591773276068144
118,2021,00-0034272,Marquez Valdes-Scantling,GB,WR,5,0.9240196486407253
123,2021,00-0034367,Nyheim Hines,IND,RB,5,0.4321073806221924
420,2022,00-0036555,Chuba Hubbard,CAR,RB,5,0.7298046662769047
601,2023,00-0036328,Antonio Gibson,WAS,RB,5,0.5887254145898787
202,2021,00-0036331,Devin Duvernay,BAL,WR,5,0.6687975892351306
687,2023,00-0039021,Roschon Johnson,CHI,RB,5,0.7357747022508916
219,2021,00-0036555,Chuba Hubbard,CAR,RB,5,0.7225637113005051
926,2024,00-0039868,Troy Franklin,DEN,WR,5,1.166053005192755
190,2021,00-0036251,Zack Moss,BUF,RB,5,0.8606697537457556
215,2021,00-0036427,Tyler Johnson,TB,WR,5,0.8751739384666225
651,2023,00-0037740,Garrett Wilson,NYJ,WR,5,0.5323824086847371
376,2022,00-0035640,DK Metcalf,SEA,WR,5,0.4233844789267119
166,2021,00-0035535,Darius Slayton,NYG,WR,5,1.084241153822319
628,2023,00-0036971,Trevor Lawrence,JAX,QB,4,0.43981577685089684
603,2023,00-0036355,Justin Herbert,LAC,QB,4,0.4347225102482014
596,2023,00-0036265,AJ Dillon,GB,RB,4,0.8573028373550255
591,2023,00-0036223,Jonathan Taylor,IND,RB,4,0.6749809230292603
607,2023,00-0036407,Jerry Jeudy,DEN,WR,4,0.5573951860147179
372,2022,00-0035298,Scott Miller,TB,WR,4,0.8335025195025182
142,2021,00-0034816,Ronald Jones,TB,RB,4,1.2412800494921625
196,2021,00-0036275,D'Andre Swift,DET,RB,4,0.7236273845268364
436,2022,00-0036955,Terrace Marshall Jr.,CAR,WR,4,0.6281590990463675
893,2024,00-0038979,Cedric Tillman,CLE,WR,4,0.7849812755288741
161,2021,00-0035243,Miles Sanders,PHI,RB,4,0.8122846776237276
633,2023,00-0036997,Javonte Williams,DEN,RB,4,0.876516322715039
421,2022,00-0036572,Shi Smith,CAR,WR,4,0.643532437873353
401,2022,00-0036271,Quez Watkins,PHI,WR,4,0.5808672714529887
897,2024,00-0039032,Tyjae Spears,TEN,RB,4,0.7310759936599537
625,2023,00-0036945,Justin Fields,CHI,QB,4,0.6118313030599455
616,2023,00-0036875,Rhamondre Stevenson,NE,RB,3,0.7861190062869289
694,2023,00-0039066,Michael Mayer,LV,TE,3,0.7562846478694188
904,2024,00-0039150,Bryce Young,CAR,QB,3,0.5673392704594195
433,2022,00-0036924,Michael Carter,NYJ,RB,3,0.9927249084252523
867,2024,00-0038041,Jake Ferguson,DAL,TE,3,0.9048126004758772
915,2024,00-0039373,Audric Estimé,DEN,RB,3,0.5684571014781008
197,2021,00-0036290,Cole Kmet,CHI,TE,3,0.8443308994324893
366,2022,00-0035216,Diontae Johnson,PIT,WR,3,0.5769597077838925
164,2021,00-0035311,Myles Gaskin,MIA,RB,3,0.6070496105006871
153,2021,00-0034981,Foster Moreau,LV,TE,3,0.8014354999558823
406,2022,00-0036328,Antonio Gibson,WAS,RB,3,0.3404786549785253
411,2022,00-0036360,Clyde Edwards-Helaire,KC,RB,3,0.8392332776029511
924,2024,00-0039851,Drake Maye,NE,QB,3,0.6201664376524878
419,2022,00-0036554,Nico Collins,HOU,WR,3,1.0605498522944055
912,2024,00-0039356,Ja'Tavion Sanders,CAR,TE,3,0.6178260562011847
452,2022,00-0037252,Greg Dulcich,DEN,TE,3,1.0724335092936912
454,2022,00-0037258,Dameon Pierce,HOU,RB,3,0.8774238419674537
141,2021,00-0034798,Durham Smythe,MIA,TE,3,0.7113806546639091
130,2021,00-0034440,Justin Jackson,LAC,RB,3,0.4489406877975572
227,2021,00-0036906,Khalil Herbert,CHI,RB,3,0.5797486015384541
828,2024,00-0036893,Najee Harris,PIT,RB,2,0.6095133328364359
935,2024,00-0039918,Caleb Williams,CHI,QB,2,0.6424421992188598
835,2024,00-0036971,Trevor Lawrence,JAX,QB,2,0.4895761528629441
824,2024,00-0036626,Dyami Brown,WAS,WR,2,0.9572059144709213
837,2024,00-0036973,Travis Etienne,JAX,RB,2,1.2870541675865854
813,2024,00-0036358,CeeDee Lamb,DAL,WR,2,0.3933574270683738
805,2024,00-0036261,Brandon Aiyuk,SF,WR,2,1.5345125074855757
698,2023,00-0039144,Luke Musgrave,GB,TE,2,1.2409052888517815
213,2021,00-0036422,Adam Trautman,NO,TE,2,1.3672251291734079
598,2023,00-0036290,Cole Kmet,CHI,TE,2,0.3203506302422232
236,2021,00-0036971,Trevor Lawrence,JAX,QB,2,0.8441058860870247
378,2022,00-0035657,Damien Harris,NE,RB,2,0.467732522754646
610,2023,00-0036550,Rashod Bateman,BAL,WR,2,0.28077539004670915
911,2024,00-0039342,Xavier Legette,CAR,WR,2,0.2740111873857498
438,2022,00-0036970,Kyle Pitts,ATL,TE,2,1.0015988699036298
427,2022,00-0036893,Najee Harris,PIT,RB,2,0.30291215143882616
396,2022,00-0036251,Zack Moss,IND,RB,2,0.498830668828673
375,2022,00-0035639,Parris Campbell,IND,WR,2,0.80132915277279
660,2023,00-0038040,Zamir White,LV,RB,2,0.49031922616710844
363,2022,00-0034981,Foster Moreau,LV,TE,2,0.6654300341777711
471,2022,00-0038129,Cade Otton,TB,TE,2,0.7308977461640638
675,2023,00-0038544,Quentin Johnston,LAC,WR,2,0.2173658975348431
928,2024,00-0039890,Adonai Mitchell,IND,WR,1,0.6824790352842062
916,2024,00-0039376,Spencer Rattler,NO,QB,1,0.3816149598615923
872,2024,00-0038134,Kenneth Walker III,SEA,RB,1,0.6185893047258262
934,2024,00-0039916,Ricky Pearsall,SF,WR,1,0.49723636725706627
922,2024,00-0039847,Theo Johnson,NYG,TE,1,0.7847173870266807
869,2024,00-0038120,Breece Hall,NYJ,RB,1,0.6569292068843463
908,2024,00-0039165,Zach Charbonnet,SEA,RB,1,0.5918670246769402
906,2024,00-0039163,C.J. Stroud,HOU,QB,1,0.5951083760448632
85,2021,00-0033280,Christian McCaffrey,CAR,RB,1,0.8401318028890163
836,2024,00-0036972,Mac Jones,JAX,QB,1,0.5179575272162767
701,2023,00-0039152,Will Levis,TEN,QB,1,1.2098271290804155
146,2021,00-0034844,Saquon Barkley,NYG,RB,1,0.9660342342513876
147,2021,00-0034845,Sony Michel,LA,RB,1,1.0296268682825218
160,2021,00-0035229,T.J. Hockenson,DET,TE,1,0.49127794611900055
178,2021,00-0035700,Josh Jacobs,LV,RB,1,0.5324613763106122
232,2021,00-0036936,Rondale Moore,ARI,WR,1,0.5783161965842265
235,2021,00-0036970,Kyle Pitts,ATL,TE,1,0.2855039729614214
354,2022,00-0034796,Lamar Jackson,BAL,QB,1,0.5015248907895216
361,2022,00-0034869,Sam Darnold,CAR,QB,1,1.2055018519729948
394,2022,00-0036232,Harrison Bryant,CLE,TE,1,0.7488656358015296
426,2022,00-0036876,Kylen Granson,IND,TE,1,0.758839253028395
429,2022,00-0036898,Davis Mills,HOU,QB,1,1.313839904957217
442,2022,00-0036980,Elijah Moore,NYJ,WR,1,0.49363204559334245
462,2022,00-0037755,Jelani Woods,IND,TE,1,1.298728557109569
466,2022,00-0037838,Isaiah Likely,BAL,TE,1,0.6335573345749946
621,2023,00-0036906,Khalil Herbert,CHI,RB,1,0.9999451090131879
627,2023,00-0036970,Kyle Pitts,ATL,TE,1,0.20046044128305704
635,2023,00-0037077,Sam Howell,WAS,QB,1,0.6124739377325478
640,2023,00-0037240,Jameson Williams,DET,WR,1,0.2265974779519476
663,2023,00-0038108,Bailey Zappe,NE,QB,1,0.47992105171259114
667,2023,00-0038124,Christian Watson,GB,WR,1,0.9317318656247557
691,2023,00-0039062,Jonathan Mingo,CAR,WR,1,0.5398914076248927
579,2023,00-0035644,Noah Fant,SEA,TE,1,1.1836368461562035
